	ime	leto	obrazlozitev	id
35	Ambrožev trg	1898	Mihael Ambrož, roj. 1808, umrl 1864 v Ljubljani; politik in prvi slovenski župan Ljubljane.	610110011;16
36	Ameriška ulica	2009	Ameriška ulica - teče poleg poslovnega nebotičnika BTC, nove Kristalne palače na eni strani in Dvorane A na drugi strani. Predlagatelj imen meni, da naj bi bila Ameriška ulica tudi zato, ker ima ta neboticnike, kot znanilce novega poslovnega distrikta na eni strani in Dvorane A kot prvega trgovskega centra na območju Slovenije. Mesta v Ameriki si predstavljano kot državo nebotičnikov in razvitih trgovsko-poslovnih središč v velikih mestih.	610111547;1670
37	NA	NA	NA	NA
38	Andreaševa ulica	1938	Miha Andreaš, roj. 1762, umrl 1821 v Bistrici na Gornjem Rožu na Koroškem; tkalec in ljudski pesnik, bukovnik.	610110012;17
39	Andrićeva ulica	1984	Ivo Andrič, 1892 Travnik - 1975 Beograf. Književnik in diplomat, član SAZU. Leta 1961 prejel Nobelovo nagrado.	610110013;1723
40	Anžurjeva ulica	1980	Lojze Anžur, 1916-1945. Aktivist OF.	610110014;1724
41	Apihova ulica	1926	Josip Apih, roj. 1853 v Zapužah na Gorenjskem, umrl 1911 v Celovcu; zgodovinar in pedagog. Proučeval slovensko zgodovino 18. in 19. stoletja.	610110015;18
42	Archinetova ulica	1982	Imenovana po bratih: Archine Branko, 1925-1944; Drago, 1923-1943. Oba sta bila prevojna komunista , leta 1941 sta šla v partizane in oba padla.	610110016;1725
43	Argentinska ulica	2008		610111533;1652
44	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1593
45	Park slovenske reformacije	2008	Ljubljana se je s poimenovanjem parka oddolžila slovenski reformaciji, ki pomeni ne samo začetek slovstva v slovenskem knjižnem jeziku (Trubar, Dalmatin, Bohorič), temveč tuđi začetek splošne uporabe imena Slovenci, začetek oblikovanja zavesti o slovenski narodni skupnosti.	610111513;1720
46	Arharjeva cesta	1968	Vinko Arhar, roj. 1913 na Trati pri Ljubljani, po mučenju v zaporu umrl 1943 v bolnišnici v Ljubljani; mizar, predvojni revolucionar, aktivist OF in organizator Narodne zaščite.	610110017;19
47	Arkova ulica	1968	Jožko Arko, roj. 1896 v Bukovici pri Ribnici na Dolenjskem - 1959 v Ljubljani. Dolgoletni šentviški zdravnik, zaslužen za zdravstveno prosveto in izgradnjo zdravstvenega doma.	610110018;20
48	Arničeva ulica	1985	Blaž Arnič, 1901-1970. Slovenski skladatelj orkestralne simfonije; pesnitve, komorna glasba; zbori; član SAZU.	610110019;1726
49	Artačeva ulica	1970	Janez Artač, roj. 1921, padel kot komisar brigade na Pohorju v Ljubljani; grafik, od 1941 aktivist OF.	610110020;21
50	Aškerčeva cesta	1991	Anton Aškerc, roj. 1856 v Globokem pri Rimskih toplicah, umrl 1912 v Ljubljani; pesnik in epik, klasik slovenske balade.	610110021;24
51	Aškerčeva cesta	1991	Anton Aškerc, roj. 1856 v Globokem pri Rimskih toplicah, umrl 1912 v Ljubljani; pesnik in epik, klasik slovenske balade.	610110021;23
52	Avčinova ulica	1988	Franc Avčin, 1919-1984. Inž. elektrotehnike, strokovnjak za varnost v gorah, publicist, udeleženec NOB. Dejaven planinec, alpinist, gorski reševalec.	610110022;1727
53	Avgustinčičeva ulica	1980	Avgustinčič Viktor-Zmago, 1923-1942. Borec NOB. Padel kot komandir voda na Jelovici.	610110023;1728
54	Avsečeva ulica	1961	Jože Avsec, roj. 1910 v Klečah pri Dolu pri Ljubljani, padel 1943 v Vrbovskem v Gorskem Kotarju; delavec, predvojni revolucionar, aktivist OF.	610110024;25
55	Avstrijska ulica	2010	Po državi Srednje Evrope ki so v gospodarskem smislu povezane z blagovno trgovskim centrom BTC in City Parkom.	610111557;2005
56	Avšičeva cesta	1988	Jaka Avšič, rojen 1896 v Savljah - umrl 1978. Borec na solinski fronti. Končal višjo vojaško akademijo v Franciji. Služil kot polkovnik v generalštabu. Po razpadu jugoslovanske vojske se je vključil v OF. leta 1941 je odšel v partizane. Bil je komandant pohoda na 2. uzasedanje AVNIJ-a v Jajce. Nosilec visokih odlikovanj.	610110025;1729
57	Ažbetova ulica	1964	Anton Ažbe, 1862 v Dolenčicah v Poljanski dolini, umrl 1905 v Münchnu; slikar in vzgojitelj slikarjev; učitelj vodilnih slovenskih impresionistov.	610110026;2431
58	Ažbetova ulica	1964	Anton Ažbe, 1862 v Dolenčicah v Poljanski dolini, umrl 1905 v Münchnu; slikar in vzgojitelj slikarjev; učitelj vodilnih slovenskih impresionistov.	610110026;26
59	Bajtova ulica	1963	Po bratih Bajt. Franc-Bojan Bajt, roj. 1920 v Ljubljani, padel 1942 na Blegošu; črkostavec, predvojni revolucionar, aktivist OF. Marko-Porfirij Bajt, roj.1922 v Ljubljani,padel 1945 na Ogalcah na Primorskem; dijak, predvojni revolucionar, aktivist OF.	610110028;27
60	Ažmanova ulica	1984	Andrej Ažman, 1895 Ljublkana - 1942 Ljubljana. Delovodja, aktivist OF. Viktor Ažman, 1926 - 1942; dijak. Očeta in sina ustrelili okupatorji.	610110027;1730
61	Babičeva ulica	2004	Babič Jože, roj. 1917 v Povžanah, umrl 1996 v Ljubljani; gledališki in filmski režiser in igralec.	610111524;1636
62	Badjurova ulica	2004	Badjura Metod, roj. 1896 v Litiji, umrl 1971 v Ljubljani; filmski režiser, snemalec in scenarist.	610111525;1637
63	Bajtova ulica	1963	Po bratih Bajt. Franc-Bojan Bajt, roj. 1920 v Ljubljani, padel 1942 na Blegošu; črkostavec, predvojni revolucionar, aktivist OF. Marko-Porfirij Bajt, roj.1922 v Ljubljani,padel 1945 na Ogalcah na Primorskem; dijak, predvojni revolucionar, aktivist OF.	610110028;28
64	Balinarska pot	1988	Po balinarskem klubu, ki ob tej poti že dolga leta uspešno deluje.	610110029;1731
65	Baragova ulica	1997	Friderik Irenij Baraga, roj. 1797 v Mali vasi pri Dobrniču, umrl 1868 v Marguetteu v ZDA; misijonar in jezikoslovec, ameriški škof.	610110010;1598
66	Ravbarjeva ulica	1952	Franc Ravbar-Vitez, roj. 1913 v Vrhovljah pri Sežani, padel 1943 v Srednji vasi pri Poljanah nad Škofjo Loko kot politkomisar III. alpske cone; ključavničar, predvojni revolucionar in komunist, organizator OF in VOS v Ljubljani, narodni heroj.	610110978;1049
67	Barjanska cesta	1991		610110030;30
68	Barjanska cesta	1991		610110030;31
69	Gostilničarska ulica	2004	Po medvladni organizaciji Counsil of Europe s sedežem v Strasbourgu s 45 državami članicami, ki zastopa okrog 800 milijonov državljanov.	610110000;29
70	Barvarska steza	1876	Po barvarjih, ki so v tem okolišu opravljali svojo obrt.	610110031;32
71	Bavdkova ulica	1937	Martin Bavdek, roj. 1829, umrl 1885 v Ljubljani; posestnik v Vodmatu, župan v Mostah v letih 187 - 1883.	610110032;34
72	Baznikova ulica			610110033;1732
73	Bazoviška ulica	1952	V Bazovici pri Trstu so bili 6. 9. 1930 po sodbi izrednega sodišča ustreljeni slovenski protifašisti Ferdinand Bidovec, Franc Marušič, Zvonimir Miloš in Alojz Valenčič.	610110034;36
74	Beblerjev trg	1981	Bebler Aleš - Primož, rojen 1907-1981, predvojni komunist, španski borec, soustanovitelj OF slovenskega naroda, med NOB opravljal odgovorne vodilne funkcije. Po vojni večinoma v diplomatski službi. Narodni heroj.	610110035;1733
75	Beethovnova ulica	1876	Ludwig van Beethoven, roj. 1770 v Bonnu, umrl 1827 na Dunaju; nemški skladatelj. Imel zveze z glasbenim življenjem v Ljubljani.	610110036;37
76	Belačeva ulica	1970	Janez Weiss-Belač, roj. 1915 v Ljubljani, padel 1944 kot član kulturniške skupine 14. divizije na Graški gori pri Slovenj Gradcu; kipar, od 1941 aktivist OF.	610110037;38
77	Beljaška ulica	1928	Po mestu Beljaku.	610110038;39
78	Belokranjska ulica	1933	Po slovenski pokrajini Beli krajini.	610110039;40
79	Vojkova cesta	2010	Janko Premrl-Vojko, roj. 1920 v Šentvidu pri Vipavi, padel 1943 v bojih pri Idrijski Beli kot komandant 1. primorske brigade; dijak, predvojni revolucionar, narodni heroj.	610111389;1476
80	Berčičeva ulica	1982	Miha Berčič, 1911-1973, predvojni revolucionar, soustanovitelj Molniške čete, nosilec spomenice 1941. Na njegovo pobudo se je začela prva zadružna gradnja četvorčkov, ki stojijo ob omenjeni ulici.	610110040;1734
81	Berčičeva ulica	1982	Miha Berčič, 1911-1973, predvojni revolucionar, soustanovitelj Molniške čete, nosilec spomenice 1941. Na njegovo pobudo se je začela prva zadružna gradnja četvorčkov, ki stojijo ob omenjeni ulici.	610110040;2323
82	Berčonova pot	1968	Janez Berčon, roj. 1912 Gozd - Reka pri Litiji, padel 1942 v boju z nemškim okupatorjem na Jelovici; delavec, od 1941 aktivist OF.	610110041;41
83	Berdajsova ulica	1974	Rudolf Berdajs, roj.1906 v Ljubljani, ustreljen 1944 na Ljubljanskem barju; uradnik, od 1941 aktivist OF.	610110042;42
84	Bergantova ulica	2000	Bergant Fortunat, roj. 1721 v Mekinjah, umrl 1769 v Ljubljani; slikar.	610111514;1623
85	Bernekerjeva ulica	1937	Franc Berneker, roj. 1874 v Lehnu blizu Smartnega pri Slovenj Gradcu, umrl 1932 v Ljubljani; kipar. Deloval v obdobju moderne.	610110043;44
86	Bernikova ulica	1970	Janez Bernik-Črni, roj. 1915 v Medvodah pri Ljubljani, padel 1942 na Jamniku pod Jelovico; tehnik, predvojni revolucionar in komunist.	610110044;45
87	Betettova cesta	2010	Julij Betetto, roj. 1885 v Ljubljani, umrl 1963 v Ljubljani; slovenski pevec (basist) in pedagog.	610111571;2019
88	Bevkova cesta	1986	France Bevk, roj. 1890 v Zakojci pri Cerknem, umrl 1970 v Ljubljani; pisatelj, prosvetno-kulturni delavec med primorskimi Slovenci. Kot borec proti fašizmu preganjan in zaprt. Med NOB predsednik PNOO za Primorsko, član AVNOJ-a.	610110045;2313
89	Bevkova cesta	1986	France Bevk, roj. 1890 v Zakojci pri Cerknem, umrl 1970 v Ljubljani; pisatelj, prosvetno-kulturni delavec med primorskimi Slovenci. Kot borec proti fašizmu preganjan in zaprt. Med NOB predsednik PNOO za Primorsko, član AVNOJ-a.	610110045;46
90	Bezenškova ulica	1937	Anton Bezenšek, roj. 1854 v Bukovju pri Celju, umrl 1915 v Sofiji; stenograf. Gabelsbergerjev sistem stenografiranja prilagodil za južne Slovane in Ruse.	610110046;48
91	Bežigrad	1892	Staro domače krajevno ime.	610110047;49
92	Bičevje	1903	Staro domače krajevno ime.	610110048;50
93	Vidmarjeva ulica	1963	Milan Vidmar, roj. 1885, umrl 1962 v Ljubljani; elektroinženir, šahovski velemojster, po študijah o transformatorjih je znan v znanstvenem svetu, med vodilnimi šahisti svojega časa.	610111370;1451
94	Vidmarjeva ulica	1963	Milan Vidmar, roj. 1885, umrl 1962 v Ljubljani; elektroinženir, šahovski velemojster, po študijah o transformatorjih je znan v znanstvenem svetu, med vodilnimi šahisti svojega časa.	610110524;51
95	Bilečanska ulica	1976	V spomin na demonstracije leta 1940 v Zalogu pri Ljubljani in izgonu slovenskih komunistov v koncentracijsko taborišče Bileča. Leta 1972 je bilo sklenjeno pobratenje med občinama Bileča in Ljubljana Moste-Polje.	610110049;53
96	Bistriška ulica			610110050;1735
97	Bitenčeva ulica	1939	Po dobrotniku in podporniku šentviške šole, Bitencu.	610110051;54
98	Bizjakova ulica	1963	Anton Bizjak, roj.1905 v Ljubljani, umrl 1945 v koncentracijskem taborišču Dachau; delavec, predvojni revolucionar, od 1941 aktivist OF.	610110052;56
99	Bizjanova ulica	1938	Po domačem slikarju Bizjanu; ukvarjal se je tudi s knjižničarstvom.	610110053;57
100	Bizoviška cesta	1968	Po naselju Bizovik.	610110054;58
101	Bizoviški štradon	1953	Po barjanskih posestnikih iz Bizovika.	610110055;59
102	Kunaverjeva ulica	1991		610110524;1709
103	Blasnikova ulica	1985	Jože Blasnik, 1800-1872. Slovenski tiskar in založnik. Kmetijske in rokodeljske novice, prešernov krst pri Savici in poezije kranjske Čebelice.	610110056;1736
104	Blasov breg	1985	Po starem krajevno udomačenem imenu.	610110057;1737
105	Blasov breg	1974	Po bratih Blažič. Jože-Božo Blažič, roj. 1927 v Ljubljani, padel 1943 na Ilovi gori; vajenec, aktivist mladinske OF. Milan-Miha Blažič, roj. 1928 v Ljubljani, padel 1943 na Selah pri Šumberku; trgovski vajenec, aktivist mladinske OF.	610110058;60
106	Bleiweisova cesta	2009		610111576;1678
107	Slovenska cesta	1991	Po imenu republike Slovenije in večinskem narodu te republike.	610111065;1264
108	Prešernova cesta	1988	Dr. France Prešeren, roj. 1800 v Vrbi na Gorenjskem, umrl 1849 v Kranju; največji slovenski pesnik. Pesniško delo obsega različne vrste lirskega in epskega pesništva, pomeni prvi vzpon in doslej najvišji dosežek slovenske poezije.	610110943;1008
109	Prešernova cesta	1988	Dr. France Prešeren, roj. 1800 v Vrbi na Gorenjskem, umrl 1849 v Kranju; največji slovenski pesnik. Pesniško delo obsega različne vrste lirskega in epskega pesništva, pomeni prvi vzpon in doslej najvišji dosežek slovenske poezije.	610110943;1010
110	Bobenčkova ulica	1939	Domače ime po nekdanji gostilni Pri Bobenčku.	610110059;62
111	Bobrova ulica	1983	Po živalski vrsti-bober, ki živi na Barju in je žaščiten.	610110060;1738
112	Bogišičeva ulica	1923	Baldo Bogošič, roj. 1834 v Cavtatu, umrl 1908 na Reki; pravnik, raziskovalec pravnih običajev južnih Slovanov. Sestavil črnogorski obči državljanski zakonik.	610110061;63
113	Bognarjeva pot	1968	Hišno ime zgradbe ob tej poti.	610110062;64
114	Bohinjčeva ulica	1939	Peter Bohinjec, roj. 1864 na Visokem pri Kranju, umrl 1919 v Dupljah; pisatelj - pisal poljudne zgodovinske povesti in poučeval zgodovino.	610110063;65
115	Bohoričeva ulica	1898	Adam Bohorič, roj. okoli 1520 v okolici Brestanice, umrl 1598 v pregnanstvu; protestantski šolnik in prvi slovničar slovenskega jezika.	610110064;66
116	Bokalova ulica	1970	Franc Bokal, roj. 1920 v Štepanji vasi pri Ljubljani, padel 1946 v Podljubelju nad Tržičem kot oficir KNOJ; pleskar, od 1941 aktivist OF, borec NOV in član VOS OF.	610110065;67
117	Cesta na Vrhovce	1965	Po naselju Vrhovci skozi katerega vodi.	610110126;138
118	Boletova ulica	1974	Vojko Bole, roj. 1925 v Prevaljah na Koroškem, padel 1944 pri Žužemberku; Dijak, od 1941 aktivist mladinske OF v Ljubljani.	610110066;68
119	Bolgarska ulica	1928	Po slovanskem narodu.	610110067;69
120	Borovniška ulica	1982	Po naselju Borovnica v občini Vrhnika.	610110068;1739
121	Borsetova ulica	1976	Jože Borse, roj. 1909 v Ljubljani, padel 1942 v Rogu pri Kočevju; litograf, predvojni revolucionar in komunist, organizator OF in ilegalnih partijskih tehnik.	610110069;2324
122	Borsetova ulica	1976	Jože Borse, roj. 1909 v Ljubljani, padel 1942 v Rogu pri Kočevju; litograf, predvojni revolucionar in komunist, organizator OF in ilegalnih partijskih tehnik.	610110069;74
123	Borštnikov trg	1923	Ignacij Borštnik, roj. 1858 v Cerkljah na Gorenjskem, umrl 1919 v Ljubljani; najpomembnejši slovenski gledališki igralec prvega rodu poklicnih igralcev.	610110070;76
124	Borutova ulica	1928	Borut, knez karantanskih Slovencev v 8. stoletju.	610110071;77
125	Božičeva ulica	2010	Peter Božič; roj.30. decembra 1932 na Bledu, umrel 10.julija 2009 v Ljubljani; slovenski pisatelj in dramatik.	610111562;2010
126	Brajnikova ulica	1973	Hinko Brajnik, roj. 1885 v Gorici, aretiran od »črne roke« in ubit 1941 v gozdu pod Toškim čelom uslužbenec; predvojni revolucionar, od 1941 aktivist OF v Ljubljani.	610110072;78
127	Brankova ulica	1939	Branko Radičevič, roj. 1824 v Slavonskem Brodu, umrl 1853 na Dunaju; največji srbski romantični lirski pesnik.	610110073;79
128	Bratinova ulica	1959	Valo Bratina, roj. 1887 v Idriji, umrl 1954 v Ljubljani; dramski igralec in režiser, organizator amaterskih gledališč.	610110074;81
129	Bratislavska cesta	1984	Bratislava- glavno mesto Slovaške, ki vzdržuje prijateljske stike z Ljubljano.	610110075;1740
130	Bratov Čebuljev ulica	1958	Po bratih Čebulj. Alojz Čebulj, roj. 1913 v Mali vasi pri Ljubljani, padel 1942 pod Krvavcem; mizar, od leta 1941 aktivist OF. Vinko Čebulj, roj. 1914 v Mali vasi pri Ljubljani, ubit 1943 v belogardističnem zaporu v Savljah pri Ljubljani; klepar, od leta	610110076;82
131	Bratov Jakopičev ulica	1958	Po bratih Jakopič. Andrej-Hari Jakopič, roj. 1919 na Ježici pri Ljubljani, padel 1944 kot komandant brigade pri Kresnicah pri Litiji; strugar, od 1941 aktivist OF. Franc Jakopič, roj. 1921 na Ježici, ubit 1943 v koncentracijskem taborišču; vodni instalat	610110077;83
132	Bratov Kunovarjev ulica	1971	Po bratih Kunovar. Franc Kunovar, roj. 1909 na Ježici pri Ljubljani, padel 1942 v Udenborštu pri Kranju; avtoklepar, od leta 1941 aktivist OF. Slavko Kunovar, roj. 1919 na Ježici pri Ljubljani, padel 1943 na Kališah nad Kamnikom; klepar, od leta 1941 akti	610110078;85
133	Bratov Kunovarjev ulica	1971	Po bratih Kunovar. Franc Kunovar, roj. 1909 na Ježici pri Ljubljani, padel 1942 v Udenborštu pri Kranju; avtoklepar, od leta 1941 aktivist OF. Slavko Kunovar, roj. 1919 na Ježici pri Ljubljani, padel 1943 na Kališah nad Kamnikom; klepar, od leta 1941 akti	610110078;2325
134	Bratovševa ploščad	1974	Franc Bratovž-Aco, roj. 1920, umrl 1965 v Ljubljani; trgovski pomočnik, predvojni revolucionar, prvoborec, oficir JLA, nosilec Partizanske spomenice 1941.	610110079;87
135	Bravničarjeva ulica	1984	Bravničar Matija, 24.2.1897 Tolmin - 25.11.1977 Ljubljana. Glasbeni pedagog in skladatelj, redni profesor za kompozicijo in glasbeno teoretske predmete na Akademiji za glasbo v Ljubljani.	610110080;1741
136	Brdnikova ulica	1939	Po nekdanji gostilni in domačiji na Brdu.	610110081;88
137	Breg	1876	Staro ime nabrežja Ljubljanice. Prva znana omemba je iz leta 1319.	610110082;89
138	Bregarjeva ulica	1938	Jožef Bregar, priljubljen šišenski učitelj.	610110083;90
139	Bregarjeva ulica	1938	Jožef Bregar, priljubljen šišenski učitelj.	610110084;91
140	Kebetova ulica	1952	Lojze Kebe-Štefan, roj. 1908 v Dolenjem Jezeru pri Cerknici, padel 1942 kot politkomisar I. grupe odredov na Jelovici; strojni ključavničar, predvojni revolucionar in komunist, organizator NOB na Gorenjskem, narodni heroj.	610110416;452
141	Breznikova ulica	1970	Anton Breznik, roj. 1881 v Ihanu, umrl 1944 v Ljubljani; jezikoslovec, raziskoval zgodovino slovenske knjižne besede in knjižnega jezika nasploh. Bil je vodilni slovničar in pravopisec svojega časa.	610110085;92
142	Brglezov štradon	1953	Domače krajevno ime.	610040001;93
143	Brilejeva ulica	1982	Dr. Jože Brilej-Bolki, 1.1.1910 Planina pri Sevnici - 1981 Ljubljana. Pravnik, predvojni revolucionar in komunist, v MOB opravljal pomembne vojaške funkcije, po vojni v diplomatski službi. Podpredsednik skupščine SRS, član CK ZKS.	610110086;1742
144	Brodarjev Ttrg	1991	Srečko Brodar, 1893-1987, naravoslovec in arheolog, raziskovalec paleolitika v sloveniji, Srbiji in BiH. Odkril paleolitsko naselje na Olševi.	610110088;1698
145	Brodska cesta	1968	Po naselju Brod, cesta povezuje celotno naselje.	610110089;94
146	Burnikova ulica	1974	Matevž Burnik-Matko, roj. 1913 v Stari Oselici pri Škofji Loki, padel 1943 pri Dobrovi pri Ljubljani; delavec, predvojni revolucionar, od 1941 aktivist OF.	610110090;95
147	Cankarjev vrh	1948	Ob tridesetletnici smrti pisatelja Ivana Cankarja so po njem imenovali vrh Rožnika, kjer je pisatelj živel v zadnjih letih svojega življenja.	610110091;102
148	Cankarjeva cesta	1946	Ivan Cankar, roj. 1876 na Vrhniki, umrl 1918 v Ljubljani; pisatelj, klasik slovenske dramatike, vrhunski stilist, mojster impresionistične in simbolistične kratke pripovedi, oster družbeni in kulturni kritik, satirik, ena vodilnih osebnosti slovenske lite	610110092;99
149	Cankarjevo nabrežje	1919	Glej: Cankarjeva cesta.	610110093;101
150	Marconijeva ulica	1941		610110094;104
151	Celarčeva ulica	1979	Celarc Janez, roj. 1914 na Brdu pri Ljubljani, ubit 1944 na Urhu pri Ljubljani; trgovski pomočnik, od leta1941 aktivist OF.	610110095;106
152	Celestinova ulica	1985	Franc Celestin, 1843-1895. Slavist in jezikoslovec. Pisal je pesmi in prozo. Kot literarni zgodovinar obravnaval Prešerna, ruske pisatelje in teoretike.	610110096;1743
153	Celjska ulica	1928	Po mestu Celje.	610110097;107
154	Celovška cesta	1876	Usmerjena proti Celovcu; tako so jo imenovali že od začetka 19. stoletja.	610110098;108
155	Cerkniška ulica.	1939	Po Cerknici, kraju na Notranjskem.	610110099;109
156	Cerkova ulica	1941	Josip Cerk, roj. 1881 v Cerkovski vasi nad Logatcem, umrl 1912 na Stolu, kjer se je smrtno ponesrečil; zemljepisec in speleolog, sistematičen znanstveni proučevalec kranjskega Krasa.	610110100;111
